entry_id,utilize,home,quantity,recurrence
401,1,2,0,1
402,1,2,0,3
403,1,1,1,1
404,2,1,1, 
405,2,2,0, 
406,1,1,1,2
407,1,1,1,1
408,1,2,0,4
409,1,1,1,2
410,1,2,0,4
411,1,1,1,1
412,1,2,0,4
413,2,2,0, 
414,2,2,0, 
415,2,2,0, 
416,2,2,0, 
417,2,2,0, 
418,2,2,0, 
419,1,2,0,3
420,1,2,0,3
421,1,1,1,4
422,2,2,0, 
423,2,2,0, 
424,2,2,0, 
425,2,2,0, 
426,2,1,1, 
427,1,1,1,3
428,1,2,0,4
429,1,2,0,1
430,2,2,0, 
431,1,1,1,2
432,1,2,0,4
433,2,2,0, 
434,2,2,0, 
435,2,2,0, 
436,2,2,0, 
437,2,1,1, 
438,1,2,0,2
439,1,1,1,1
440,2,2,0, 
441,2,2,0, 
442,1,1,1,1
443,2,2,0, 
444,2,2,0, 
445,2,2,0, 
446,2,2,0, 
447,2,2,0, 
448,2,2,0, 
449,2,2,0, 
450,2,2,0, 
451,2,2,0, 
452,2,2,0, 
453,2,2,0, 
454,2,1,1, 
455,1,1,1,4
456,2,2,0, 
457,1,1,1,1
458,2,2,0, 
459,1,1,2,1
460,2,2,0, 
461,1,2,0,3
462,1,2,0,4
463,2,2,0, 
464,2,2,0, 
465,1,2,0,3
466,1,2,0,2
467,1,1,1,4
468,2,2,0, 
469,1,1,1,2
470,1,2,0,2
471,2,2,0, 
472,2,1,1, 
473,2,2,0, 
474,1,1,1,1
475,2,2,0, 
476,1,1,1,2
477,2,2,0, 
478,2,1,1, 
479,2,2,0, 
480,1,1,1,3
481,2,2,0, 
482,2,2,0, 
483,2,2,0, 
484,1,2,0,2
485,2,2,0, 
486,1,2,0,4
487,1,1,1,4
488,1,2,0,2
489,1,1,1,2
490,2,2,0, 
491,2,2,0, 
492,1,1,1,3
493,1,1,1,2
494,1,1,1,2
495,1,1,1,4
496,2,2,0, 
497,2,2,0, 
498,2,2,0, 
499,1,1,1,3
500,1,1,1,2
501,1,1,1,4
502,1,2,0,4
503,1,2,0,1
504,2,2,0, 
505,1,2,0,1
506,1,1,1,2
507,1,2,0,3
508,1,1,1,1
509,2,2,0, 
510,1,1,1,1
511,1,1,1,2
512,1,1,1,1
513,2,2,0, 
514,1,1,1,2
515,2,2,0, 
516,2,2,0, 
517,1,1,2,1
518,2,2,0, 
519,1,1,1,4
520,2,2,0, 
521,2,2,0, 
522,2,1,1, 
523,2,1,1, 
524,1,2,0,3
525,1,1,1,3
526,2,2,0, 
527,1,2,0,1
528,1,2,0,3
529,1,1,1,1
530,2,2,0, 
531,1,1,2,2
532,1,1,1,4
533,2,2,0, 
534,2,2,0, 
535,2,2,0, 
536,2,2,0, 
537,1,1,1,1
538,2,2,0, 
539,2,2,0, 
540,1,1,1,3
541,2,1,1, 
542,2,2,0, 
543,2,2,0, 
544,1,2,0,4
545,2,2,0, 
546,1,1,1,1
547,2,2,0, 
548,1,1,2,1
549,2,2,0, 
550,2,2,0, 
551,2,2,0, 
552,2,2,0, 
553,2,1,1, 
554,2,2,0, 
555,2,2,0, 
556,2,2,0, 
557,2,2,0, 
558,1,2,0,2
559,1,1,1,4
560,1,2,0,2
561,1,1,1,4
562,2,2,0, 
563,1,1,1,3
564,2,2,0, 
565,2,2,0, 
566,1,2,0,3
567,1,1,1,2
568,1,1,1,2
569,2,2,0, 
570,1,1,1,2
571,1,1,2,3
572,2,2,0, 
573,2,2,0, 
574,2,2,0, 
575,1,2,0,3
576,2,2,0, 
577,2,2,0, 
578,2,2,0, 
579,2,2,0, 
580,2,2,0, 
581,1,1,1,1
582,1,1,1,4
583,2,2,0, 
584,1,2,0,2
585,2,2,0, 
586,1,1,2,1
587,2,2,0, 
588,2,2,0, 
589,2,2,0, 
590,2,2,0, 
591,2,2,0, 
592,2,2,0, 
593,2,2,0, 
594,2,2,0, 
595,1,1,1,2
596,2,2,0, 
597,1,2,0,1
598,1,1,1,2
599,1,2,0,4
600,1,1,1,1
601,2,2,0, 
602,2,2,0, 
603,2,2,0, 
604,1,1,1,1
605,2,2,0, 
606,1,1,1,2
607,1,1,1,3
608,1,1,1,1
609,1,2,0,3
610,2,2,0, 
611,2,2,0, 
612,2,2,0, 
613,1,2,0,1
614,1,1,1,4
615,1,2,0,3
616,2,2,0, 
617,2,2,0, 
618,2,2,0, 
619,2,1,1, 
620,2,2,0, 
621,2,2,0, 
622,2,2,0, 
623,1,1,1,2
624,2,2,0, 
625,2,2,0, 
626,1,1,1,4
627,1,2,0,2
628,1,2,0,1
629,2,2,0, 
630,1,1,1,1
631,2,2,0, 
632,1,1,1,4
633,2,2,0, 
634,2,2,0, 
635,1,2,0,2
636,1,2,0,1
637,1,2,0,4
638,2,2,0, 
639,2,2,0, 
640,2,2,0, 
641,2,2,0, 
642,2,2,0, 
643,2,2,0, 
644,2,2,0, 
645,2,2,0, 
646,2,2,0, 
647,1,1,1,1
648,1,1,2,1
649,1,1,1,1
650,1,1,2,2
651,1,1,1,2
652,2,2,0, 
653,2,2,0, 
654,1,1,2,2
655,2,2,0, 
656,2,2,0, 
657,2,2,0, 
658,2,2,0, 
659,1,1,1,1
660,1,1,1,2
661,1,1,1,1
662,2,2,0, 
663,2,1,1, 
664,2,2,0, 
665,1,2,0,2
666,2,2,0, 
667,2,2,0, 
668,1,1,1,2
669,2,2,0, 
670,1,2,0,2
671,2,2,0, 
672,1,2,0,4
673,1,2,0,1
674,1,1,1,1
675,2,2,0, 
676,2,2,0, 
677,2,2,0, 
678,2,2,0, 
679,1,2,0,2
680,2,2,0, 
681,2,2,0, 
682,2,2,0, 
683,1,1,1,3
684,2,2,0, 
685,1,1,1,2
686,1,2,0,1
687,2,2,0, 
688,1,1,1,1
689,2,2,0, 
690,1,1,1,1
691,2,2,0, 
692,1,1,1,1
693,2,2,0, 
694,1,1,1,2
695,1,1,1,1
696,1,1,1,1
697,2,2,0, 
698,2,2,0, 
699,2,2,0, 
700,2,2,0, 
701,1,1,1,4
702,2,2,0, 
703,1,1,1,2
704,2,2,0, 
705,2,2,0, 
706,2,2,0, 
707,2,2,0, 
708,2,2,0, 
709,1,2,0,2
710,2,2,0, 
711,2,2,0, 
712,1,1,1,1
713,1,2,0,2
714,2,2,0, 
715,1,1,1,3
716,1,2,0,3
717,2,2,0, 
718,1,2,0,99
719,2,2,0, 
720,2,2,0, 
721,1,2,0,1
722,1,1,1,2
723,1,1,1,1
724,1,2,0,3
725,2,2,0, 
726,2,1,1, 
727,2,2,0, 
728,1,1,1,4
729,2,2,0, 
730,1,1,1,4
731,1,1,1,1
732,2,2,0, 
733,2,2,0, 
734,1,2,0,2
735,2,2,0, 
736,2,2,0, 
737,1,2,0,3
738,1,2,0,2
739,2,2,0, 
740,1,1,1,3
741,2,2,0, 
742,1,1,1,4
743,1,1,1,4
744,1,1,1,3
745,2,2,0, 
746,2,2,0, 
747,2,2,0, 
748,2,2,0, 
749,1,2,0,3
750,1,1,1,2
751,2,2,0, 
752,1,1,1,2
753,1,2,0,1
754,2,2,0, 
755,1,1,1,1
756,2,1,1, 
757,1,1,1,1
758,1,1,1,1
759,2,2,0, 
760,2,2,0, 
761,2,2,0, 
762,2,2,0, 
763,2,2,0, 
764,2,2,0, 
765,1,2,0,2
766,1,2,0,2
767,1,1,1,3
768,1,1,1,1
769,1,2,0,1
770,2,2,0, 
771,1,2,0,4
772,1,2,0,3
773,2,2,0, 
774,2,2,0, 
775,2,2,0, 
776,2,2,0, 
777,1,1,1,2
778,1,2,0,2
779,2,2,0, 
780,2,2,0, 
781,2,2,0, 
782,1,1,1,2
783,2,2,0, 
784,1,1,1,2
785,1,2,0,1
786,2,2,0, 
787,2,1,1, 
788,2,2,0, 
789,1,1,1,3
790,2,2,0, 
791,2,2,0, 
792,2,2,0, 
793,2,2,0, 
794,2,2,0, 
795,2,2,0, 
796,2,2,0, 
797,2,2,0, 
798,2,2,0, 
799,2,2,0, 
800,1,1,1,2
801,2,2,0, 
802,1,1,1,4
803,1,2,0,1
804,2,2,0, 
805,2,2,0, 
806,2,2,0, 
807,2,2,0, 
808,2,2,0, 
809,1,2,0,2
810,1,2,0,3
811,2,2,0, 
812,1,1,1,4
813,1,1,1,2
814,1,1,1,1
815,1,2,0,1
816,1,1,1,2
817,2,2,0, 
818,1,1,1,1
819,1,2,0,3
820,2,2,0, 
821,2,1,1, 
822,2,2,0, 
823,2,2,0, 
824,1,1,1,2
825,2,2,0, 
826,1,1,1,3
827,2,2,0, 
828,1,2,0,2
829,2,2,0, 
830,2,2,0, 
831,1,2,0,4
832,1,1,1,1
833,1,1,1,2
834,2,2,0, 
835,2,2,0, 
836,2,2,0, 
837,2,2,0, 
838,2,2,0, 
839,2,2,0, 
840,1,1,1,2
841,2,2,0, 
842,2,2,0, 
843,1,2,0,1
844,1,2,0,2
845,1,1,1,1
846,1,1,1,1
847,2,2,0, 
848,1,1,1,1
849,1,1,1,3
850,1,1,1,3
851,2,2,0, 
852,2,2,0, 
853,2,2,0, 
854,2,2,0, 
855,2,2,0, 
856,2,2,0, 
857,2,2,0, 
858,2,2,0, 
859,2,2,0, 
860,1,2,0,2
861,2,2,0, 
862,2,2,0, 
863,1,1,1,4
864,2,2,0, 
865,2,2,0, 
866,2,2,0, 
867,1,2,0,3
868,2,2,0, 
869,1,1,1,1
870,1,1,1,2
871,2,2,0, 
872,2,2,0, 
873,1,1,1,1
874,1,2,0,1
875,1,1,2,2
876,2,2,0, 
877,2,2,0, 
878,2,2,0, 
879,2,2,0, 
880,2,1,1, 
881,2,2,0, 
882,1,1,1,2
883,2,2,0, 
884,2,1,1, 
885,2,2,0, 
886,2,2,0, 
887,2,2,0, 
888,1,2,0,2
889,2,2,0, 
890,2,2,0, 
891,1,1,1,3
892,1,2,0,2
893,1,1,1,2
894,2,2,0, 
895,1,2,0,1
896,2,2,0, 
897,2,2,0, 
898,2,2,0, 
899,2,2,0, 
900,1,1,1,3
